,Data Year,ID,Property Name,Address,Chicago Energy Rating,Exempt From Chicago Energy Rating,Community Area,Primary Property Type,Gross Floor Area - Buildings (sq ft),Year Built,Electricity Use (kBtu),Natural Gas Use (kBtu),Site EUI (kBtu/sq ft),Source EUI (kBtu/sq ft),Weather Normalized Site EUI (kBtu/sq ft),Weather Normalized Source EUI (kBtu/sq ft),Total GHG Emissions (Metric Tons CO2e),GHG Intensity (kg CO2e/sq ft),Latitude,Longitude
2027,2020,101913,Chicago Transit Authority,567 W Lake St,3.0,False,NEAR WEST SIDE,Office,434052.0,2004.0,17992104.5,9770870.5,64.0,139.7,65.6,141.5,3327.0,7.7,41.88528144,-87.64234829
2028,2020,173863,,5650  N KENMORE AVE,4.0,False,EDGEWATER,Multifamily Housing,150000.0,2011.0,2894600.9,4471192.0,49.1,85.3,51.9,88.4,689.2,4.6,41.99090057,-87.66660744
2031,2020,256784,,450 W BELMONT AVE,4.0,False,Lakeview,Multifamily Housing,179658.0,2019.0,3163923.8,2302773.5,31.8,65.6,32.8,66.7,616.1,3.6,41.939555,-87.668475
2032,2020,251419,"Bronzeville Charter, Hartigan - CPS",8 W Root St,3.5,False,GRAND BOULEVARD,K-12 School,63929.0,1960.0,1088752.4,3824910.2,76.9,110.5,76.9,110.5,373.1,5.8,41.8194828,-87.62700116
2036,2020,251545,Metcalfe Math And Science -CPS,12339 S Normal Ave,3.5,False,WEST PULLMAN,K-12 School,81370.0,1980.0,2093682.8,3186130.1,64.9,113.2,68.3,116.8,496.0,6.1,41.66947303,-87.63400634
2037,2020,113086,,1001  W MADISON ST,3.5,False,NEAR WEST SIDE,Multifamily Housing,148900.0,2005.0,3658431.8,3733819.6,57.8,110.7,59.2,112.3,769.3,6.0,41.87399385,-87.651678
2038,2020,135181,Kingsbury Center,350 W Hubbard St,4.0,False,NEAR NORTH SIDE,Office,158114.0,1989.0,5652752.7,5474537.4,72.0,139.5,74.1,141.8,1173.0,7.6,41.88994802,-87.63762147
2039,2020,151835,,500 514 S LARAMIE AVE,2.0,False,AUSTIN,Multifamily Housing,50000.0,1929.0,585062.5,4071168.4,93.1,118.3,98.2,123.2,307.5,6.2,41.88039405,-87.75826967
2041,2020,166543,North & Kostner,4501 W North Ave,3.5,False,HUMBOLDT PARK,Retail Store,161640.0,2009.0,8882334.1,2403159.8,47.9,116.2,49.0,117.1,1513.9,6.4,41.9096931,-87.73945998
2042,2020,116536,Cal-Met Village Apartments,4101  S CALUMET AVE,3.0,False,GRAND BOULEVARD,Multifamily Housing,57850.0,1989.0,1267564.8,4472990.6,99.2,142.5,103.4,146.9,435.4,7.5,41.82021138,-87.61246867
2043,2020,150282,The Royalle Condominium Association,744  N CLARK ST,1.0,False,NEAR NORTH SIDE,Multifamily Housing,77800.0,2003.0,2780107.8,3315036.7,78.3,144.8,80.9,147.8,610.0,7.8,41.89198218,-87.63699623
2044,2020,128321,,2315  W LEMOYNE ST,4.0,False,WEST TOWN,Multifamily Housing,76497.0,1992.0,1226706.8,3625609.5,63.4,94.7,66.0,97.0,384.0,5.0,41.90225377,-87.68447845
2045,2020,252044,Law/ Mott/ Social Service Admin/ Faculty Housing,1111 E 60th St,2.5,False,WOODLAWN,Multifamily Housing,64648.0,1948.0,1692639.5,107970.0,63.6,118.1,63.6,118.1,423.4,6.5,41.7850873,-87.59905769
2046,2020,238554,336 Wellington Association,336 W WELLINGTON AVE,4.0,False,LAKE VIEW,Multifamily Housing,167091.0,1967.0,2547249.0,,100.9,138.9,106.8,145.2,985.9,7.3,41.93693671,-87.63850573
2047,2020,116876,,3720  W ARMITAGE AVE,1.0,False,LOGAN SQUARE,Multifamily Housing,85742.0,2006.0,4897601.5,2522700.0,87.3,191.6,92.1,201.7,898.4,10.5,41.92075046,-87.70152825
2049,2020,114291,,2912 2914 N COMMONWEALTH AVE,3.0,False,LAKE VIEW,Multifamily Housing,59677.0,1926.0,780051.4,5103529.5,98.6,126.4,104.3,131.4,392.8,6.6,41.9398511,-87.65844752
2050,2020,255022,Kenect Chicago,505 N GREEN ST,1.5,False,West Town,Multifamily Housing,55216.0,2018.0,7622609.6,6283155.9,75.9,152.5,78.0,155.9,1523.4,8.3,41.89133277,-87.64871387
2051,2020,250067,Goldblatts Building,1609 W Chicago Ave,3.5,False,WEST TOWN,Office,160280.0,1940.0,8755592.0,3824434.7,78.5,178.0,79.7,178.7,1569.6,9.8,41.89604369,-87.6677898
2052,2020,160392,1120 N LaSalle Apartments,1120 N LaSalle St,1.5,False,NEAR NORTH SIDE,Multifamily Housing,249845.0,1988.0,5502272.8,15311203.2,101.6,153.7,106.5,158.3,1672.0,8.2,41.902342,-87.632913
2053,2020,106618,215 West Apartments,215 W Washington St,4.0,False,LOOP,Multifamily Housing,917200.0,2010.0,16150763.2,12247493.3,42.1,86.1,43.0,87.0,3171.2,4.7,41.88322296,-87.63452002
2057,2020,175887,,444  W SAINT JAMES PL,4.0,False,LINCOLN PARK,Multifamily Housing,112662.0,1930.0,2720346.3,2624200.4,47.4,92.1,48.9,95.1,563.9,5.0,41.92201051,-87.65461957
2058,2020,120876,224 N Desplaines St,224 N Desplaines St,4.0,False,NEAR WEST SIDE,Office,77760.0,1935.0,2920293.5,977361.0,50.1,118.4,55.3,129.3,507.7,6.5,41.88650973,-87.64427776
2059,2020,252107,Harris Theater for Music and Dance,205 E Randolph St,4.0,False,LOOP,Performing Arts,140160.0,2003.0,3464916.0,,30.3,74.3,32.7,81.5,581.6,4.1,41.88401355,-87.62179601
2060,2020,113489,,1339  N DEARBORN ST,4.0,False,NEAR NORTH SIDE,Multifamily Housing,105000.0,1972.0,3581351.2,,53.5,117.3,57.1,126.5,659.8,6.4,41.9037528,-87.63558845
2061,2020,138379,Edens East,6200 N HIAWATHA AVE,4.0,False,FOREST GLEN,Office,117780.0,1968.0,735380.1,,6.2,17.5,,,114.8,1.0,41.99367467,-87.74969325
2062,2020,159044,Lidia Puchinska Apartments,838 N Noble St,4.0,False,WEST TOWN,Multifamily Housing,335411.0,1965.0,4476113.6,17428859.1,81.5,114.7,85.7,118.2,1624.3,6.0,41.89750905,-87.66328018
